Timestamp,Chill set,Severe set,Extreme set,Chill heater,Severe heater,Extreme heater,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb50e10,28-00000eb501b0,28-00000eb496d2,28-00000eb3cf7d,28-00000eb52c32,28-00000ec23ab6,28-00000ec25534,28-00000eb4b7e0,28-00000ec24f93,28-00000eb4619b,28-00000eb3f54e,28-00000eb4a798,28-00000eb3e681,
2023-09-13 16:24:52.006800,14.58,18.58,22.58,off,on,on,14.713,14.323,14.478,14.628,14.795,18.604,18.585,18.666,18.517,18.344,22.519,22.246,22.451,22.427,22.296,18.059,22.318,14.066,
2023-09-13 16:25:51.826756,14.58,18.58,22.58,off,on,on,14.713,14.323,14.478,14.628,14.816,18.604,18.564,18.666,18.517,18.344,22.519,22.267,22.451,22.427,22.296,18.017,22.213,14.045,
2023-09-13 16:26:51.922498,14.58,18.58,22.58,off,on,on,14.713,14.365,14.478,14.628,14.858,18.604,18.585,18.666,18.517,18.344,22.519,22.267,22.387,22.427,22.296,17.996,22.213,14.066,
2023-09-13 16:27:51.919719,14.58,18.58,22.58,off,on,on,14.713,14.386,14.5,14.649,14.858,18.604,18.585,18.666,18.517,18.344,22.519,22.225,22.429,22.427,22.296,17.996,22.171,14.108,
2023-09-13 16:28:51.955490,14.58,18.58,22.58,off,on,on,14.755,14.386,14.521,14.649,14.858,18.604,18.564,18.666,18.538,18.344,22.477,22.225,22.387,22.427,22.317,18.101,22.192,14.045,
2023-09-13 16:29:51.861762,14.58,18.58,22.58,off,off,on,14.734,14.386,14.542,14.649,14.858,18.604,18.564,18.666,18.538,18.344,22.498,22.267,22.408,22.406,22.296,18.27,22.192,14.045,
2023-09-13 16:30:51.910309,14.62,18.62,22.62,off,on,on,14.734,14.386,14.542,14.649,14.837,18.604,18.585,18.666,18.517,18.344,22.498,22.246,22.408,22.427,22.296,18.269,22.213,14.045,
2023-09-13 16:31:51.947429,14.62,18.62,22.62,off,off,on,14.776,14.386,14.542,14.649,14.858,18.604,18.585,18.666,18.538,18.344,22.498,22.246,22.408,22.427,22.296,18.333,22.234,14.045,
2023-09-13 16:32:51.925571,14.62,18.62,22.62,off,on,on,14.776,14.386,14.542,14.649,14.858,18.604,18.585,18.666,18.517,18.344,22.477,22.225,22.387,22.406,22.296,18.248,22.213,14.045,
2023-09-13 16:33:51.910109,14.62,18.62,22.62,off,off,on,14.776,14.386,14.542,14.649,14.858,18.604,18.564,18.666,18.538,18.344,22.477,22.246,22.387,22.406,22.296,18.312,22.277,14.024,
2023-09-13 16:34:51.918196,14.62,18.62,22.62,off,off,on,14.776,14.386,14.542,14.67,14.858,18.604,18.585,18.688,18.517,18.364,22.498,22.246,22.387,22.406,22.296,18.312,22.256,13.982,
2023-09-13 16:35:51.862808,14.62,18.62,22.62,off,off,on,14.776,14.386,14.542,14.67,14.858,18.604,18.585,18.688,18.558,18.385,22.519,22.246,22.408,22.427,22.296,18.374,22.298,13.961,
2023-09-13 16:36:51.931750,14.62,18.62,22.62,off,off,on,14.776,14.386,14.542,14.67,14.858,18.604,18.606,18.666,18.558,18.364,22.519,22.246,22.387,22.427,22.296,18.333,22.34,13.961,
2023-09-13 16:37:51.943442,14.62,18.62,22.62,off,off,on,14.776,14.428,14.542,14.67,14.858,18.625,18.627,18.666,18.579,18.344,22.498,22.267,22.429,22.427,22.317,18.312,22.382,13.94,
2023-09-13 16:38:51.986865,14.62,18.62,22.62,off,on,on,14.776,14.407,14.542,14.67,14.858,18.604,18.627,18.666,18.558,18.406,22.498,22.267,22.429,22.427,22.317,18.269,22.382,13.92,
2023-09-13 16:39:51.851062,14.62,18.62,22.62,off,on,on,14.776,14.407,14.542,14.649,14.858,18.604,18.627,18.709,18.538,18.385,22.519,22.246,22.451,22.427,22.296,18.164,22.361,13.92,
2023-09-13 16:40:51.947030,14.62,18.62,22.62,off,on,on,14.776,14.386,14.542,14.67,14.858,18.604,18.606,18.688,18.558,18.364,22.498,22.267,22.451,22.427,22.296,18.08,22.382,13.92,
2023-09-13 16:41:51.986899,14.62,18.62,22.62,off,on,on,14.776,14.407,14.542,14.649,14.858,18.604,18.585,18.688,18.558,18.364,22.519,22.267,22.451,22.427,22.338,18.122,22.403,13.92,
2023-09-13 16:42:51.890881,14.62,18.62,22.62,off,off,on,14.776,14.407,14.542,14.649,14.858,18.604,18.606,18.666,18.558,18.364,22.519,22.267,22.451,22.427,22.317,18.312,22.382,13.92,
2023-09-13 16:43:51.947692,14.62,18.62,22.62,off,off,on,14.776,14.449,14.542,14.67,14.858,18.604,18.606,18.666,18.558,18.344,22.519,22.267,22.451,22.427,22.338,18.354,22.382,13.898,
2023-09-13 16:44:51.925548,14.62,18.62,22.62,off,off,on,14.776,14.428,14.542,14.67,14.858,18.604,18.627,18.688,18.579,18.364,22.519,22.267,22.451,22.427,22.338,18.312,22.382,13.877,
2023-09-13 16:45:51.861537,14.62,18.62,22.62,off,on,on,14.776,14.386,14.542,14.67,14.858,18.604,18.627,18.709,18.579,18.385,22.519,22.267,22.451,22.469,22.359,18.248,22.403,13.856,
2023-09-13 16:46:51.953841,14.62,18.62,22.62,off,on,on,14.776,14.407,14.542,14.649,14.858,18.604,18.627,18.688,18.558,18.406,22.519,22.288,22.451,22.49,22.338,18.186,22.466,13.794,
2023-09-13 16:47:51.922073,14.62,18.62,22.62,off,on,on,14.776,14.428,14.542,14.67,14.858,18.604,18.627,18.73,18.558,18.406,22.519,22.267,22.451,22.448,22.359,18.164,22.466,13.814,
2023-09-13 16:48:51.925951,14.62,18.62,22.62,off,on,on,14.776,14.386,14.542,14.649,14.858,18.604,18.627,18.666,18.558,18.385,22.519,22.267,22.451,22.49,22.338,18.186,22.445,13.856,
2023-09-13 16:49:51.779482,14.62,18.62,22.62,off,off,on,14.776,14.407,14.542,14.649,14.858,18.604,18.627,18.73,18.579,18.364,22.519,22.309,22.451,22.49,22.359,18.291,22.466,13.814,
