date_time,temp,t
2015-08-01T00:00:00Z,14.92,2015-08-01
2015-08-01T00:20:01Z,14.93,2015-08-01
2015-08-01T00:40:02Z,14.92,2015-08-01
2015-08-01T01:00:03Z,14.93,2015-08-01
2015-08-01T01:20:04Z,14.94,2015-08-01
2015-08-01T01:39:56Z,14.91,2015-08-01
2015-08-01T01:59:57Z,14.87,2015-08-01
2015-08-01T02:19:58Z,14.85,2015-08-01
2015-08-01T02:39:59Z,14.92,2015-08-01
2015-08-01T03:00:00Z,15.09,2015-08-01
2015-08-01T03:20:01Z,15.26,2015-08-01
2015-08-01T03:40:02Z,15.35,2015-08-01
2015-08-01T04:00:03Z,15.4,2015-08-01
2015-08-01T04:20:04Z,15.41,2015-08-01
2015-08-01T04:39:56Z,15.4,2015-08-01
2015-08-01T04:59:57Z,15.38,2015-08-01
2015-08-01T05:19:58Z,15.37,2015-08-01
2015-08-01T05:39:59Z,15.35,2015-08-01
2015-08-01T06:00:00Z,15.33,2015-08-01
2015-08-01T06:20:01Z,15.31,2015-08-01
2015-08-01T06:40:02Z,15.29,2015-08-01
2015-08-01T07:00:03Z,15.28,2015-08-01
2015-08-01T07:20:04Z,15.25,2015-08-01
2015-08-01T07:39:56Z,15.23,2015-08-01
2015-08-01T07:59:57Z,15.23,2015-08-01
2015-08-01T08:19:58Z,15.25,2015-08-01
2015-08-01T08:39:59Z,15.31,2015-08-01
2015-08-01T09:00:00Z,15.4,2015-08-01
2015-08-01T09:20:01Z,15.48,2015-08-01
2015-08-01T09:40:02Z,15.46,2015-08-01
2015-08-01T10:00:03Z,15.42,2015-08-01
2015-08-01T10:20:04Z,15.47,2015-08-01
2015-08-01T10:39:56Z,15.52,2015-08-01
2015-08-01T10:59:57Z,15.54,2015-08-01
2015-08-01T11:19:58Z,15.54,2015-08-01
2015-08-01T11:39:59Z,15.54,2015-08-01
2015-08-01T12:00:00Z,15.55,2015-08-01
2015-08-01T12:20:01Z,15.56,2015-08-01
2015-08-01T12:40:02Z,15.6,2015-08-01
2015-08-01T13:00:03Z,15.62,2015-08-01
2015-08-01T13:20:04Z,15.64,2015-08-01
2015-08-01T13:39:56Z,15.65,2015-08-01
2015-08-01T13:59:57Z,15.67,2015-08-01
2015-08-01T14:19:58Z,15.68,2015-08-01
2015-08-01T14:39:59Z,15.69,2015-08-01
2015-08-01T15:00:00Z,15.71,2015-08-01
2015-08-01T15:20:01Z,15.73,2015-08-01
2015-08-01T15:40:02Z,15.74,2015-08-01
2015-08-01T16:00:03Z,15.77,2015-08-01
2015-08-01T16:20:04Z,15.79,2015-08-01
2015-08-01T16:39:56Z,15.79,2015-08-01
2015-08-01T16:59:57Z,15.81,2015-08-01
2015-08-01T17:19:58Z,15.83,2015-08-01
2015-08-01T17:39:59Z,15.81,2015-08-01
2015-08-01T18:00:00Z,15.75,2015-08-01
2015-08-01T18:20:01Z,15.72,2015-08-01
2015-08-01T18:40:02Z,15.7,2015-08-01
2015-08-01T19:00:03Z,15.65,2015-08-01
2015-08-01T19:20:04Z,15.63,2015-08-01
2015-08-01T19:39:56Z,15.66,2015-08-01
2015-08-01T19:59:57Z,15.69,2015-08-01
2015-08-01T20:19:58Z,15.72,2015-08-01
2015-08-01T20:39:59Z,15.75,2015-08-01
2015-08-01T21:00:00Z,15.78,2015-08-01
2015-08-01T21:20:01Z,15.82,2015-08-01
2015-08-01T21:40:02Z,15.83,2015-08-01
2015-08-01T22:00:03Z,15.84,2015-08-01
2015-08-01T22:20:04Z,15.87,2015-08-01
2015-08-01T22:39:56Z,15.92,2015-08-01
2015-08-01T22:59:57Z,16.13,2015-08-01
2015-08-01T23:19:58Z,16.64,2015-08-01
2015-08-01T23:39:59Z,17.23,2015-08-01
2015-08-02T00:00:00Z,17.68,2015-08-02
