Timestamp,Chill set,Severe set,Extreme set,Chill heater,Severe heater,Extreme heater,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb50e10,28-00000eb501b0,28-00000eb496d2,28-00000eb3cf7d,28-00000eb52c32,28-00000ec23ab6,28-00000ec25534,28-00000eb4b7e0,28-00000ec24f93,28-00000eb4619b,28-00000eb3f54e,28-00000eb4a798,28-00000eb3e681,
2023-09-19 09:29:52.199084,13.64,17.64,21.64,on,off,on,14.966,15.015,14.921,14.965,15.069,19.087,19.07,19.171,19.021,18.846,23.986,23.86,24.027,24.061,23.871,18.312,23.709,13.898,
2023-09-19 09:30:52.362052,13.64,17.64,21.64,on,on,on,14.966,15.015,14.921,14.965,15.069,19.087,19.07,19.15,19.021,18.846,23.965,23.839,24.027,24.019,23.871,18.248,23.646,13.835,
2023-09-19 09:31:52.233308,13.63,17.63,21.63,on,off,on,15.007,15.015,14.921,14.965,15.048,19.045,19.07,19.129,19.021,18.846,23.965,23.86,24.027,24.061,23.85,18.248,23.668,13.794,
2023-09-19 09:32:52.234019,13.63,17.63,21.63,on,on,on,14.987,15.015,14.921,14.965,15.048,19.045,19.07,19.129,19.021,18.825,23.965,23.839,24.027,24.04,23.85,18.248,23.689,13.856,
2023-09-19 09:33:52.232300,13.63,17.63,21.63,on,off,on,14.966,14.993,14.879,14.965,15.048,19.045,19.048,19.108,19.021,18.846,23.965,23.839,24.027,23.997,23.828,18.248,23.773,13.92,
2023-09-19 09:34:52.232073,13.63,17.63,21.63,on,on,on,14.966,15.015,14.858,14.944,15.048,19.045,19.027,19.108,18.999,18.825,23.965,23.839,24.027,24.061,23.828,18.248,23.836,14.003,
2023-09-19 09:35:52.230074,13.63,17.63,21.63,on,on,on,14.966,14.993,14.858,14.944,14.984,19.045,19.027,19.108,18.957,18.783,23.965,23.839,24.027,24.061,23.871,18.333,23.9,14.066,
2023-09-19 09:36:52.189809,13.63,17.63,21.63,on,on,on,14.966,15.015,14.858,14.944,14.984,19.045,19.006,19.108,18.999,18.783,23.965,23.882,24.027,24.061,23.871,18.354,23.9,14.192,
2023-09-19 09:37:52.231802,13.63,17.63,21.63,on,on,on,14.966,14.972,14.858,14.923,14.984,19.045,19.006,19.066,18.957,18.783,23.965,23.839,24.027,24.061,23.871,18.48,23.962,14.297,
2023-09-19 09:38:52.232276,13.63,17.63,21.63,on,on,off,14.966,14.993,14.858,14.965,15.005,19.024,19.006,19.108,18.957,18.783,23.986,23.882,24.027,24.061,23.871,18.564,24.026,14.339,
2023-09-19 09:39:52.137567,13.63,17.63,21.63,on,on,off,14.966,14.993,14.858,14.944,15.005,19.024,19.006,19.108,18.957,18.783,24.007,23.903,24.048,24.061,23.871,18.691,24.068,14.423,
2023-09-19 09:40:52.361001,13.63,17.63,21.63,on,on,off,14.987,14.972,14.879,14.944,14.984,19.045,19.006,19.108,18.957,18.783,24.007,23.903,24.048,24.061,23.871,18.732,24.047,14.444,
2023-09-19 09:41:52.259414,13.63,17.63,21.63,on,on,off,15.028,15.015,14.9,14.923,15.027,19.045,19.027,19.087,18.978,18.783,24.028,23.903,24.048,24.061,23.871,18.838,24.026,14.486,
2023-09-19 09:42:52.169348,13.63,17.63,21.63,on,on,on,15.028,14.993,14.9,14.944,15.027,19.045,19.006,19.108,18.999,18.783,24.028,23.903,24.069,24.082,23.871,18.88,23.962,14.507,
2023-09-19 09:43:52.296698,13.63,17.63,21.63,on,off,on,15.028,15.015,14.921,14.965,15.027,19.045,19.048,19.108,18.999,18.783,24.028,23.903,24.069,24.061,23.871,18.985,23.899,14.528,
