date_time,temp,t
2015-03-12T00:00:00Z,15.61,2015-03-12
2015-03-12T00:20:01Z,15.61,2015-03-12
2015-03-12T00:40:02Z,15.62,2015-03-12
2015-03-12T01:00:03Z,15.63,2015-03-12
2015-03-12T01:20:04Z,15.63,2015-03-12
2015-03-12T01:39:56Z,15.63,2015-03-12
2015-03-12T01:59:57Z,15.63,2015-03-12
2015-03-12T02:19:58Z,15.63,2015-03-12
2015-03-12T02:39:59Z,15.63,2015-03-12
2015-03-12T03:00:00Z,15.62,2015-03-12
2015-03-12T03:20:01Z,15.61,2015-03-12
2015-03-12T03:40:02Z,15.6,2015-03-12
2015-03-12T04:00:03Z,15.59,2015-03-12
2015-03-12T04:20:04Z,15.6,2015-03-12
2015-03-12T04:39:56Z,15.61,2015-03-12
2015-03-12T04:59:57Z,15.62,2015-03-12
2015-03-12T05:19:58Z,15.62,2015-03-12
2015-03-12T05:39:59Z,15.65,2015-03-12
2015-03-12T06:00:00Z,15.71,2015-03-12
2015-03-12T06:20:01Z,15.72,2015-03-12
2015-03-12T06:40:02Z,15.68,2015-03-12
2015-03-12T07:00:03Z,15.64,2015-03-12
2015-03-12T07:20:04Z,15.62,2015-03-12
2015-03-12T07:39:56Z,15.59,2015-03-12
2015-03-12T07:59:57Z,15.59,2015-03-12
2015-03-12T08:19:58Z,15.59,2015-03-12
2015-03-12T08:39:59Z,15.54,2015-03-12
2015-03-12T09:00:00Z,15.44,2015-03-12
2015-03-12T09:20:01Z,15.37,2015-03-12
2015-03-12T09:40:02Z,15.33,2015-03-12
2015-03-12T10:00:03Z,15.31,2015-03-12
2015-03-12T10:20:04Z,15.3,2015-03-12
2015-03-12T10:39:56Z,15.29,2015-03-12
2015-03-12T10:59:57Z,15.29,2015-03-12
2015-03-12T11:19:58Z,15.28,2015-03-12
2015-03-12T11:39:59Z,15.27,2015-03-12
2015-03-12T12:00:00Z,15.26,2015-03-12
2015-03-12T12:20:01Z,15.27,2015-03-12
2015-03-12T12:40:02Z,15.29,2015-03-12
2015-03-12T13:00:03Z,15.29,2015-03-12
2015-03-12T13:20:04Z,15.27,2015-03-12
2015-03-12T13:39:56Z,15.27,2015-03-12
2015-03-12T13:59:57Z,15.27,2015-03-12
2015-03-12T14:19:58Z,15.27,2015-03-12
2015-03-12T14:39:59Z,15.27,2015-03-12
