Timestamp,Temp set,Heater status,28-00000eb51050,28-00000eb3e681,28-00000eb4cb62,28-00000eb3cf7d,28-00000eb42add,28-00000ec23ab6,28-00000eb50e10,28-00000eb5045f,28-00000eb3fd89,
2024-03-09 14:03:20.688360,15.25,on,15.217,15.179,15.216,15.242,15.237,18.745,19.235,13.008,12.962,
2024-03-09 14:04:20.591773,15.25,on,15.196,15.2,15.237,15.242,15.237,18.745,19.235,13.071,13.004,
2024-03-09 14:05:20.464020,15.25,off,15.217,15.284,15.322,15.346,15.322,18.724,19.235,13.113,13.004,
2024-03-09 14:06:20.653699,15.25,off,15.386,15.41,15.448,15.472,15.469,18.681,19.255,13.155,13.046,
2024-03-09 14:07:20.646622,15.25,off,15.449,15.494,15.49,15.535,15.554,18.681,19.276,13.198,13.109,
2024-03-09 14:08:20.592103,15.25,off,15.491,15.494,15.49,15.556,15.554,18.681,19.276,13.219,13.13,
2024-03-09 14:09:20.625663,15.25,off,15.491,15.494,15.49,15.556,15.554,18.619,19.255,13.26,13.172,
2024-03-09 14:10:20.650231,15.25,off,15.47,15.431,15.49,15.494,15.532,18.619,19.235,13.303,13.213,
2024-03-09 14:11:20.657621,15.25,off,15.47,15.431,15.448,15.494,15.49,18.619,19.192,13.345,13.256,
2024-03-09 14:12:20.633187,15.25,off,15.407,15.41,15.427,15.451,15.469,18.619,19.171,13.387,13.276,
2024-03-09 14:13:20.559816,15.25,off,15.407,15.368,15.385,15.43,15.448,18.619,19.171,13.408,13.318,
2024-03-09 14:14:20.655567,15.25,off,15.344,15.347,15.364,15.409,15.427,18.598,19.15,13.45,13.381,
2024-03-09 14:15:20.655973,15.25,off,15.344,15.305,15.364,15.388,15.406,18.577,19.108,13.513,13.402,
2024-03-09 14:16:20.591940,15.25,off,15.302,15.284,15.301,15.368,15.364,18.619,19.108,13.513,13.444,
2024-03-09 14:17:20.561881,15.25,off,15.281,15.242,15.28,15.304,15.364,18.577,19.108,13.577,13.444,
2024-03-09 14:18:20.626411,15.25,off,15.281,15.242,15.258,15.304,15.301,18.577,19.066,13.597,13.507,
2024-03-09 14:19:20.625715,15.25,off,15.217,15.221,15.237,15.283,15.301,18.556,19.045,13.639,13.507,
2024-03-09 14:20:20.590529,15.25,off,15.217,15.221,15.258,15.242,15.301,18.556,19.045,13.639,13.548,
2024-03-09 14:21:20.689423,15.25,on,15.217,15.242,15.237,15.242,15.28,18.556,19.045,13.66,13.569,
2024-03-09 14:22:20.559722,15.25,off,15.217,15.242,15.258,15.262,15.28,18.514,19.003,13.703,13.611,
2024-03-09 14:23:20.747984,15.25,off,15.302,15.284,15.343,15.346,15.343,18.493,19.045,13.703,13.633,
2024-03-09 14:24:20.716208,15.25,off,15.365,15.368,15.364,15.409,15.427,18.514,19.045,13.765,13.633,
2024-03-09 14:25:20.529480,15.25,off,15.344,15.368,15.385,15.43,15.427,18.493,19.045,13.765,13.695,
2024-03-09 14:26:20.592138,15.25,off,15.344,15.368,15.385,15.43,15.427,18.493,19.045,13.787,13.695,
