Timestamp,Temp set,Heater status,28-00000eb3cf7d,28-00000eb42add,28-00000eb5045f,28-00000eb3fd89,28-00000eb51050,28-00000eb3e681,28-00000eb4cb62,
2024-03-08 16:13:20.644567,15.3,off,15.281,15.305,15.301,15.724,15.743,13.808,13.695,
2024-03-08 16:14:20.667007,15.3,off,15.281,15.305,15.301,15.703,15.743,13.829,13.695,
2024-03-08 16:15:20.671709,15.3,on,15.281,15.263,15.301,15.746,15.743,13.829,13.758,
2024-03-08 16:16:20.593902,15.3,on,15.281,15.263,15.301,15.703,15.743,13.871,13.758,
2024-03-08 16:17:20.542739,15.3,off,15.281,15.305,15.322,15.724,15.743,13.892,13.758,
2024-03-08 16:18:20.596545,15.3,off,15.281,15.305,15.301,15.746,15.743,13.892,13.821,
2024-03-08 16:19:20.569836,15.3,off,15.281,15.263,15.343,15.746,15.743,13.934,13.821,
2024-03-08 16:20:20.688785,15.3,off,15.281,15.305,15.364,15.724,15.743,13.913,13.779,
2024-03-08 16:21:20.560393,15.3,off,15.302,15.305,15.343,15.746,15.743,13.829,13.653,
2024-03-08 16:22:20.648098,15.3,on,15.281,15.263,15.301,15.746,15.743,13.682,13.528,
2024-03-08 16:23:20.658692,15.3,on,15.26,15.242,15.301,15.746,15.743,13.555,13.423,
2024-03-08 16:24:20.563060,15.3,on,15.26,15.242,15.301,15.746,15.743,13.45,13.318,
2024-03-08 16:25:20.722571,15.3,on,15.281,15.242,15.301,15.746,15.743,13.45,13.339,
2024-03-08 16:26:20.657159,15.3,on,15.281,15.242,15.301,15.746,15.743,13.471,13.381,
2024-03-08 16:27:20.535200,15.3,on,15.281,15.284,15.301,15.746,15.764,13.534,13.444,
2024-03-08 16:28:20.631023,15.3,off,15.281,15.305,15.322,15.787,15.807,13.555,13.444,
2024-03-08 16:29:20.815839,15.3,off,15.281,15.305,15.322,15.766,15.807,13.577,13.486,
2024-03-08 16:30:20.624417,15.3,off,15.281,15.305,15.322,15.746,15.807,13.618,13.507,
2024-03-08 16:31:20.631760,15.32,off,15.281,15.305,15.343,15.787,15.807,13.618,13.548,
2024-03-08 16:32:20.531428,15.32,on,15.281,15.305,15.322,15.808,15.807,13.639,13.569,
2024-03-08 16:33:20.530543,15.32,off,15.281,15.305,15.343,15.808,15.807,13.703,13.59,
2024-03-08 16:34:20.586209,15.32,off,15.302,15.305,15.364,15.808,15.807,13.703,13.611,
2024-03-08 16:35:20.594744,15.32,off,15.302,15.305,15.343,15.808,15.807,13.724,13.633,
2024-03-08 16:36:20.594565,15.32,off,15.302,15.305,15.364,15.808,15.807,13.765,13.653,
2024-03-08 16:37:20.530816,15.32,off,15.323,15.305,15.364,15.787,15.807,13.765,13.695,
2024-03-08 16:38:20.690537,15.32,off,15.323,15.326,15.343,15.808,15.807,13.808,13.695,
2024-03-08 16:39:20.594233,15.32,off,15.344,15.305,15.364,15.808,15.807,13.829,13.716,
2024-03-08 16:40:20.530273,15.32,off,15.344,15.305,15.364,15.808,15.807,13.871,13.758,
