Date,Time,Tank,Genet,Open,Partial open,Partial closed,Closed,N
10/1/23,18:30,1,A,7,4,4,0,
10/1/23,18:30,1,B,3,9,5,1,
10/1/23,18:30,1,C,5,1,3,0,
10/1/23,18:30,1,D,12,5,1,0,
10/1/23,18:30,1,E,2,6,9,4,
10/1/23,18:30,2,A,3,,5,0,
10/1/23,18:30,2,B,6,6,5,0,
10/1/23,18:30,2,C,3,1,4,0,
10/1/23,18:30,2,D,9,6,4,0,
10/1/23,18:30,2,E,1,5,,3,
10/1/23,18:30,3,A,6,4,3,0,
10/1/23,18:30,3,B,6,8,1,0,
10/1/23,18:30,3,C,4,3,1,2,
10/1/23,18:30,3,D,13,2,3,0,
10/1/23,18:30,3,E,3,7,8,1,
10/1/23,18:30,4,A,1,6,2,1,
10/1/23,18:30,4,B,1,6,6,2,
10/1/23,18:30,4,C,4,2,3,0,
10/1/23,18:30,4,D,11,5,1,0,
10/1/23,18:30,4,E,2,2,13,2,
10/1/23,18:30,5,A,9,1,0,0,
10/1/23,18:30,5,B,5,5,3,2,
10/1/23,18:30,5,C,1,1,4,2,
10/1/23,18:30,5,D,5,4,9,2,
10/1/23,18:30,5,E,5,10,5,1,
10/1/23,18:30,6,A,3,4,4,0,
10/1/23,18:30,6,B,7,6,4,1,
10/1/23,18:30,6,C,3,1,5,1,
10/1/23,18:30,6,D,3,7,9,0,
10/1/23,18:30,6,E,3,2,15,2,
10/1/23,18:30,7,A,8,3,3,0,
10/1/23,18:30,7,B,9,7,1,0,
10/1/23,18:30,7,C,3,1,5,1,
10/1/23,18:30,7,D,12,3,3,0,
10/1/23,18:30,7,E,7,2,9,2,
10/1/23,18:30,8,A,4,2,5,0,
10/1/23,18:30,8,B,9,4,8,1,
10/1/23,18:30,8,C,2,1,3,1,
10/1/23,18:30,8,D,9,4,7,2,
10/1/23,18:30,8,E,4,3,11,4,
10/1/23,18:30,9,A,6,4,1,0,
10/1/23,18:30,9,B,4,6,3,2,
10/1/23,18:30,9,C,1,3,4,2,
10/1/23,18:30,9,D,9,5,3,2,
10/1/23,18:30,9,E,3,2,8,4,
10/1/23,18:30,10,A,5,5,1,1,
10/1/23,18:30,10,B,7,4,5,0,
10/1/23,18:30,10,C,3,3,3,0,
10/1/23,18:30,10,D,13,5,2,0,
10/1/23,18:30,10,E,2,3,14,3,
10/1/23,18:30,11,A,6,1,3,0,
10/1/23,18:30,11,B,5,4,5,0,
10/1/23,18:30,11,C,4,1,4,2,
10/1/23,18:30,11,D,8,1,6,4,
10/1/23,18:30,11,E,2,4,9,4,
10/1/23,18:30,12,A,4,2,5,2,
10/1/23,18:30,12,B,3,3,6,3,
10/1/23,18:30,12,C,2,2,3,1,
10/1/23,18:30,12,D,5,2,11,1,
10/1/23,18:30,12,E,4,6,5,8,
10/1/23,18:30,13,A,2,8,1,0,
10/1/23,18:30,13,B,2,6,6,2,
10/1/23,18:30,13,C,4,5,1,0,
10/1/23,18:30,13,D,11,3,5,1,
10/1/23,18:30,13,E,2,3,12,2,
10/1/23,18:30,14,A,4,4,3,0,
10/1/23,18:30,14,B,8,5,3,0,
10/1/23,18:30,14,C,3,0,3,2,
10/1/23,18:30,14,D,3,6,7,0,
10/1/23,18:30,14,E,3,8,7,1,
10/1/23,18:30,15,A,3,4,2,1,
10/1/23,18:30,15,B,9,8,0,0,
10/1/23,18:30,15,C,3,2,1,1,
10/1/23,18:30,15,D,6,7,4,0,
10/1/23,18:30,15,E,10,10,4,1,
10/6/23,18:00,1,A,5,,4,0,
10/6/23,18:00,1,B,4,,7,3,
10/6/23,18:00,1,C,5,,2,1,
10/6/23,18:00,1,D,5,,9,0,
10/6/23,18:00,1,E,2,1,,5,
10/6/23,18:00,2,A,3,,5,0,
10/6/23,18:00,2,B,0,,10,0,
10/6/23,18:00,2,C,0,1,,1,
10/6/23,18:00,2,D,9,,8,1,
10/6/23,18:00,2,E,0,2,,8,
10/6/23,18:00,3,A,6,,4,0,
10/6/23,18:00,3,B,3,,5,0,
10/6/23,18:00,3,C,2,2,,3,
10/6/23,18:00,3,D,7,,6,0,
10/6/23,18:00,3,E,0,3,,3,
10/6/23,18:00,4,A,3,,2,2,
10/6/23,18:00,4,B,2,9,,2,
10/6/23,18:00,4,C,1,,6,0,
10/6/23,18:00,4,D,11,,5,0,
10/6/23,18:00,4,E,1,1,,6,
10/6/23,18:00,5,A,7,,3,1,
10/6/23,18:00,5,B,3,5,,2,
10/6/23,18:00,5,C,0,,5,1,
10/6/23,18:00,5,D,5,,11,0,
10/6/23,18:00,5,E,1,2,,2,
10/6/23,18:00,6,A,2,,6,1,
10/6/23,18:00,6,B,3,,5,3,
10/6/23,18:00,6,C,3,,3,2,
10/6/23,18:00,6,D,6,,11,1,
10/6/23,18:00,6,E,2,,13,3,
10/6/23,18:00,7,A,4,,8,0,
10/6/23,18:00,7,B,9,,4,2,
10/6/23,18:00,7,C,5,,5,0,
10/6/23,18:00,7,D,6,,9,2,
10/6/23,18:00,7,E,2,,11,1,
10/6/23,18:00,8,A,5,,4,0,
10/6/23,18:00,8,B,7,,10,3,
10/6/23,18:00,8,C,4,,3,0,
10/6/23,18:00,8,D,8,,8,1,
10/6/23,18:00,8,E,2,,8,4,
10/6/23,18:00,9,A,6,,4,0,
10/6/23,18:00,9,B,3,5,,0,
10/6/23,18:00,9,C,1,4,,1,
10/6/23,18:00,9,D,6,,4,3,
10/6/23,18:00,9,E,0,3,,5,
10/6/23,18:00,10,A,3,,9,1,
10/6/23,18:00,10,B,4,,11,1,
10/6/23,18:00,10,C,2,1,,0,
10/6/23,18:00,10,D,7,,6,0,
10/6/23,18:00,10,E,0,4,,1,
10/6/23,18:00,11,A,6,,4,1,
10/6/23,18:00,11,B,7,,6,0,
10/6/23,18:00,11,C,3,,6,0,
10/6/23,18:00,11,D,13,,2,0,
10/6/23,18:00,11,E,5,3,7,,
10/6/23,18:00,12,A,5,,5,0,
10/6/23,18:00,12,B,4,,5,2,
10/6/23,18:00,12,C,6,,2,1,
10/6/23,18:00,12,D,12,,3,0,
10/6/23,18:00,12,E,4,2,,2,
10/6/23,18:00,13,A,2,2,,1,
10/6/23,18:00,13,B,3,,5,2,
10/6/23,18:00,13,C,6,,1,0,
10/6/23,18:00,13,D,11,,4,2,
10/6/23,18:00,13,E,1,2,10,,
10/6/23,18:00,14,A,3,,6,1,
10/6/23,18:00,14,B,2,,8,2,
10/6/23,18:00,14,C,4,,2,2,
10/6/23,18:00,14,D,3,,8,0,
10/6/23,18:00,14,E,2,,12,4,
10/6/23,18:00,15,A,8,,2,0,
10/6/23,18:00,15,B,4,,4,0,
10/6/23,18:00,15,C,2,,2,1,
10/6/23,18:00,15,D,5,,7,1,
10/6/23,18:00,15,E,7,,8,1,
10/10/23,18:00,1,A,11,,3,0,
10/10/23,18:00,1,B,10,,4,1,
10/10/23,18:00,1,C,6,,3,0,
10/10/23,18:00,1,D,12,,1,0,
10/10/23,18:00,1,E,5,,9,2,
10/10/23,18:00,2,A,6,,2,1,
10/10/23,18:00,2,B,8,,5,0,
10/10/23,18:00,2,C,4,,4,0,
10/10/23,18:00,2,D,11,,4,0,
10/10/23,18:00,2,E,7,,13,1,
10/10/23,18:00,3,A,9,,2,1,
10/10/23,18:00,3,B,10,,6,0,
10/10/23,18:00,3,C,1,,5,1,
10/10/23,18:00,3,D,11,,4,2,
10/10/23,18:00,3,E,4,,8,2,
10/10/23,18:00,4,A,7,,2,0,
10/10/23,18:00,4,B,10,,2,1,
10/10/23,18:00,4,C,6,,0,0,
10/10/23,18:00,4,D,19,,0,0,
10/10/23,18:00,4,E,6,,5,1,
10/10/23,18:00,5,A,5,,0,0,
10/10/23,18:00,5,B,10,,2,2,
10/10/23,18:00,5,C,5,,2,0,
10/10/23,18:00,5,D,15,,4,1,
10/10/23,18:00,5,E,10,,4,0,
10/10/23,18:00,6,A,4,,9,3,
10/10/23,18:00,6,B,6,,4,3,
10/10/23,18:00,6,C,7,,3,0,
10/10/23,18:00,6,D,6,,8,1,
10/10/23,18:00,6,E,6,,10,2,
10/10/23,18:00,7,A,15,,3,0,
10/10/23,18:00,7,B,10,,2,2,
10/10/23,18:00,7,C,4,,3,1,
10/10/23,18:00,7,D,12,,4,1,
10/10/23,18:00,7,E,7,,8,1,
10/10/23,18:00,8,A,4,,2,4,
10/10/23,18:00,8,B,11,,9,1,
10/10/23,18:00,8,C,4,,3,0,
10/10/23,18:00,8,D,9,,8,1,
10/10/23,18:00,8,E,1,5,,1,
10/10/23,18:00,9,A,5,,2,1,
10/10/23,18:00,9,B,3,4,,3,
10/10/23,18:00,9,C,2,3,,2,
10/10/23,18:00,9,D,9,,5,0,
