"genet","tank","date","avg_size","sd_size","avg_biomass_g","sd_biomass_g","n_polyps_sampler","samplers"
"A",1,2023-10-06,6.48139534883721,2.46464466489866,0.0647782255813954,0.0537061481655958,14.3333333333333,3
"A",1,2023-10-13,6.075,1.4669029783275,0.0480615987068966,0.0322786901782242,19.3333333333333,3
"A",1,2023-10-20,5.91037735849057,1.50794273260486,0.0461459599056604,0.0307245994441877,17.6666666666667,3
"A",1,2023-10-27,5.5325,1.60341874776125,0.0390209020833333,0.0243570573531745,20,3
"A",1,2023-11-03,5.01451612903226,1.47199845066567,0.0300696774193548,0.0203828760026237,20.6666666666667,3
"A",1,2023-11-10,4.59402985074627,1.41531692000931,0.0240067298507463,0.0129665113481911,22.3333333333333,3
"A",1,2023-11-17,4.51492537313433,1.16969936775665,0.0220155350746269,0.00970918611464852,22.3333333333333,3
"A",1,2023-11-24,4.52569444444444,1.18414623741213,0.0224100315972222,0.0111400609854854,24,3
"A",1,2023-12-01,4.51645569620253,1.30924496934089,0.0230611183544304,0.0143135326165529,26.3333333333333,3
"A",1,2023-12-08,3.99367088607595,1.30328754052477,0.0184983056962025,0.00902526590583751,26.3333333333333,3
"A",1,2023-12-15,3.92368421052632,1.10127059614936,0.0167921653508772,0.00584858152960269,19,3
"A",1,2023-12-22,3.65431034482759,1.16524990724172,0.0161046581896552,0.00590620328132528,19.3333333333333,3
"A",1,2023-12-29,3.565,1.06096911462345,0.0156105358333333,0.00599111344096999,20,3
"A",1,2024-01-05,3.42666666666667,0.986099466008752,0.0148320608333333,0.00499525894884375,20,3
"A",1,2024-01-12,3.36416666666667,0.884012608120793,0.01419082375,0.00444642714702744,20,3
"A",1,2024-01-19,3.32946428571429,0.881403302975875,0.0140127584821429,0.00344875361836865,18.6666666666667,3
"A",1,2024-01-26,3.5,1.03042220060732,0.0149746552631579,0.00481128567368315,19,3
"A",1,2024-02-02,3.55178571428571,1.16765585936962,0.0152340196428571,0.00514362203320931,18.6666666666667,3
"A",1,2024-02-09,3.34649122807018,1.09659003436207,0.0146752057017544,0.00531768246017309,19,3
"A",2,2023-10-06,7.2025641025641,2.4051878107392,0.083440767948718,0.0556630368089894,13,3
"A",2,2023-10-13,7.48375,2.68834539249835,0.095014626875,0.0751107319083596,13.3333333333333,3
"A",2,2023-10-20,6.82820512820513,2.13680775596388,0.0685889948717949,0.0348568382506448,13,3
"A",2,2023-10-27,6.79659090909091,2.37033626130145,0.0699506051136364,0.0498196963017391,14.6666666666667,3
"A",2,2023-11-03,6.0469387755102,1.70016397521082,0.0488084234693878,0.0301453897461101,16.3333333333333,3
"A",2,2023-11-10,5.49416666666667,1.54931786743126,0.0381981320833333,0.0283087529663807,20,3
"A",2,2023-11-17,5.19206349206349,1.6532442372307,0.0326089126984127,0.0210062739180666,21,3
"A",2,2023-11-24,5.04032258064516,1.38252269449249,0.028591589516129,0.0131032750484229,20.6666666666667,3
"A",2,2023-12-01,5.02142857142857,1.24326068982219,0.0284802273809524,0.0131599957779139,21,3
