Hypothesis,U,logLik,AICc,num.param,num.iter,converged
H1,unequal,-99.90481320079707,207.83638225443693,4,15,TRUE
H1,equal,-99.90481320079707,207.83638225443693,4,15,TRUE
H1,zero,-177.05979894322198,360.1356406671926,3,17,TRUE
H2,unequal,39.42776999751597,-56.67812064019324,11,15,TRUE
H2,equal,39.23810166506051,-60.35539796099351,9,15,TRUE
H2,zero,39.21814423210761,-62.33970898735406,8,15,TRUE
H3,unequal,71.88063669664373,-109.34831792770042,17,18,TRUE
H3,equal,71.71519052793809,-117.18542816220189,13,15,TRUE
H3,zero,70.73082135875498,-117.25182429114815,12,15,TRUE
H4,unequal,15.420991548527123,-14.74540362019308,8,15,TRUE
H4,equal,15.402071265546144,-16.729075506963603,7,15,TRUE
H4,zero,15.401494729911759,-18.746726901216686,6,17,TRUE
H9,unequal,116.32919455862356,-135.55095110071818,47,26,TRUE
H9,equal,112.4414081658765,-157.3521205609481,33,20,TRUE
H9,zero,108.86611840964869,-152.2925640176614,32,15,TRUE
H5,unequal,-38.20132071099578,92.49922089885273,8,15,TRUE
H5,equal,-38.25879485190753,90.59265672794375,7,15,TRUE
H5,zero,-38.48781327557255,89.03188910975193,6,17,TRUE
H6,unequal,-35.32491364468274,86.74640676622664,8,15,TRUE
H6,equal,-35.34577492683965,84.76661687780799,7,15,TRUE
H6,zero,-35.72585581087988,83.50797418036659,6,15,TRUE
H7,unequal,21.662130417373874,-15.041432551919463,14,15,TRUE
H7,equal,21.53445723884743,-20.891495122856153,11,15,TRUE
H7,zero,20.88270364902185,-21.61765713014578,10,15,TRUE
H8,unequal,-56.36208810774474,141.00700449831777,14,24,TRUE
H8,equal,-56.53166570810961,135.24075077105792,11,15,TRUE
H8,zero,-57.12926544537592,134.40628105864977,10,15,TRUE
