Hypothesis,U,logLik,AICc,num.param,num.iter,converged
H1,unequal,278.91768680769115,-549.8086177625395,4,15,TRUE
H1,equal,278.91768680769115,-549.8086177625395,4,15,TRUE
H1,zero,201.70021845025343,-397.3843941197582,3,15,TRUE
H2,unequal,386.8645883071953,-751.5517572595519,11,51,TRUE
H2,equal,381.0112789949502,-743.9017526207729,9,20,TRUE
H2,zero,379.82746482039425,-743.5583501639273,8,18,TRUE
H3,unequal,665.03566220006,-1295.658368934533,17,37,TRUE
H3,equal,664.98176404155015,-1303.718575189426,13,37,TRUE
H3,zero,660.4882131797166,-1296.7666079330713,12,20,TRUE
H4,unequal,385.5695777985714,-755.0425761202816,8,36,TRUE
H4,equal,380.2176916689103,-746.3603163136919,7,16,TRUE
H4,zero,379.82529671648666,-747.5943308743665,6,15,TRUE
H9,unequal,712.5465142089881,-1327.9855904014473,47,349,TRUE
H9,equal,709.3179327274809,-1351.1051696841569,33,279,TRUE
H9,zero,693.8456405416249,-1322.2516082816137,32,66,TRUE
H5,unequal,388.1186986281706,-760.14081777948,8,24,TRUE
H5,equal,387.4165854202721,-760.7581038164155,7,22,TRUE
H5,zero,385.920275733723,-759.7842889088391,6,15,TRUE
H6,unequal,419.2614045710492,-822.4262296652372,8,27,TRUE
H6,equal,419.25664222221053,-824.4382174202924,7,26,TRUE
H6,zero,417.0714640536365,-822.0866655486661,6,15,TRUE
H7,unequal,426.81492469639943,-825.3470211099706,14,41,TRUE
H7,equal,426.78123658534946,-831.3850538158603,11,39,TRUE
H7,zero,423.1897565713551,-826.2317629748122,10,22,TRUE
H8,unequal,418.57316217276787,-808.8634960627074,14,52,TRUE
H8,equal,417.039617546848,-811.9018157388573,11,30,TRUE
H8,zero,414.6641482579451,-809.1805463479923,10,22,TRUE
