Hypothesis,U,logLik,AICc,num.param,num.iter,converged
H1,unequal,556.5025754393904,-1104.951459603613,4,15,TRUE
H1,equal,556.5025754393904,-1104.951459603613,4,15,TRUE
H1,zero,518.2979641772207,-1030.563756772672,3,15,TRUE
H2,unequal,618.6450500395598,-1214.932376501884,11,228,TRUE
H2,equal,615.3782233669003,-1212.5132034905573,9,52,TRUE
H2,zero,614.8389551604502,-1213.4835783370947,8,17,TRUE
H3,unequal,816.6583460424721,-1598.4806265111738,17,93,TRUE
H3,equal,816.468576612899,-1606.4425880084068,13,84,TRUE
H3,zero,814.896621860231,-1605.3699058642883,12,19,TRUE
H4,unequal,619.7773456534992,-1223.3603593231928,8,54,TRUE
H4,equal,618.5849306293719,-1223.0189178625174,7,40,TRUE
H4,zero,618.4144389361236,-1224.7158226905512,6,15,TRUE
H9,unequal,893.018804244701,-1685.6102580620516,47,351,TRUE
H9,equal,891.5946595491178,-1714.055240885945,33,277,TRUE
H9,zero,884.4975906584564,-1702.049574622352,32,61,TRUE
H5,unequal,613.835240263189,-1211.4761485425724,8,32,TRUE
H5,equal,613.5885378930383,-1213.02613238985,7,48,TRUE
H5,zero,613.3674073655809,-1214.6217595494659,6,15,TRUE
H6,unequal,693.5137375646897,-1370.8331431455738,8,60,TRUE
H6,equal,693.4450690140254,-1372.7391946318244,7,44,TRUE
H6,zero,693.0509510509287,-1373.9888469201614,6,15,TRUE
H7,unequal,798.3368840629867,-1568.1023395545446,14,75,TRUE
H7,equal,798.085675496903,-1573.8136274165704,11,69,TRUE
H7,zero,796.8773419543107,-1573.4569843145755,10,16,TRUE
H8,unequal,695.4239945484217,-1362.2765605254147,14,76,TRUE
H8,equal,694.7863631671137,-1367.2150027569917,11,74,TRUE
H8,zero,694.0905588295014,-1367.883418064957,10,22,TRUE
