Date,Time,Tank,Genet,N,Splitting
10/1/23,19:30,1,A,15,0
10/1/23,19:30,1,B,18,0
10/1/23,19:30,1,C,9,0
10/1/23,19:30,1,D,18,0
10/1/23,19:30,1,E,21,0
10/1/23,19:30,2,A,11,0
10/1/23,19:30,2,B,17,0
10/1/23,19:30,2,C,8,0
10/1/23,19:30,2,D,19,0
10/1/23,19:30,2,E,25,3
10/1/23,19:30,3,A,13,0
10/1/23,19:30,3,B,15,0
10/1/23,19:30,3,C,10,0
10/1/23,19:30,3,D,18,0
10/1/23,19:30,3,E,19,0
10/1/23,19:30,4,A,10,1
10/1/23,19:30,4,B,15,0
10/1/23,19:30,4,C,9,1
10/1/23,19:30,4,D,17,1
10/1/23,19:30,4,E,19,1
10/1/23,19:30,5,A,10,0
10/1/23,19:30,5,B,15,1
10/1/23,19:30,5,C,8,0
10/1/23,19:30,5,D,20,0
10/1/23,19:30,5,E,21,0
10/1/23,19:30,6,A,11,1
10/1/23,19:30,6,B,18,1
10/1/23,19:30,6,C,10,1
10/1/23,19:30,6,D,19,1
10/1/23,19:30,6,E,22,0
10/1/23,19:30,7,A,14,1
10/1/23,19:30,7,B,17,1
10/1/23,19:30,7,C,10,1
10/1/23,19:30,7,D,18,2
10/1/23,19:30,7,E,20,1
10/1/23,19:30,8,A,11,0
10/1/23,19:30,8,B,22,0
10/1/23,19:30,8,C,7,0
10/1/23,19:30,8,D,22,0
10/1/23,19:30,8,E,22,0
10/1/23,19:30,9,A,11,0
10/1/23,19:30,9,B,15,0
10/1/23,19:30,9,C,10,0
10/1/23,19:30,9,D,19,0
10/1/23,19:30,9,E,17,0
10/1/23,19:30,10,A,12,1
10/1/23,19:30,10,B,16,1
10/1/23,19:30,10,C,9,0
10/1/23,19:30,10,D,20,1
10/1/23,19:30,10,E,22,1
10/1/23,19:30,11,A,10,1
10/1/23,19:30,11,B,14,0
10/1/23,19:30,11,C,11,0
10/1/23,19:30,11,D,19,1
10/1/23,19:30,11,E,19,1
10/1/23,19:30,12,A,13,2
10/1/23,19:30,12,B,15,1
10/1/23,19:30,12,C,8,1
